id,site,observer,date,day,month,year,date_format,juldate,start_time,timeformat,time_interval,species,species_format,dist1,dist2,dist3,dist4,dist5,total,detection,detection_format,temp,sky,wind,x,y,accuracy,location_notes,general_notes,,
andrkenva1-197-2013-3,andrkenva1,LF,7/16/2013,16,7,2013,7/16/2013,197,8:15:00,815,3,BLJA,blja,.,.,.,1,.,1,A,a,82,0,1,,,,street traffic,,,
andrkenva1-197-2013-3,andrkenva1,LF,7/16/2013,16,7,2013,7/16/2013,197,8:15:00,815,3,AMRO,amro,.,.,.,.,1,1,A,a,82,0,1,,,,,,,
andrkenva1-197-2013-3,andrkenva1,LF,7/16/2013,16,7,2013,7/16/2013,197,8:15:00,815,3,DOWO,dowo,.,.,.,1,.,1,A,a,82,0,1,,,,,,,
andrkenva1-197-2013-3,andrkenva1,LF,7/16/2013,16,7,2013,7/16/2013,197,8:15:00,815,3,CACH,cach,.,.,.,1,.,1,A,a,82,0,1,,,,,,,
andrkenva1-197-2013-2,andrkenva1,LF,7/16/2013,16,7,2013,7/16/2013,197,8:15:00,815,2,NOCA,noca,.,.,1,.,.,1,A,a,82,0,1,,,,,,,
andrkenva1-197-2013-2,andrkenva1,LF,7/16/2013,16,7,2013,7/16/2013,197,8:15:00,815,2,GRCA,grca,.,.,.,1,.,1,A,a,82,0,1,,,,,,,
andrkenva1-197-2013-5,andrkenva1,LF,7/16/2013,16,7,2013,7/16/2013,197,8:15:00,815,5,NOCA,noca,.,.,1,.,.,1,A,a,82,0,1,,,,,,,
andrkenva1-197-2013-5,andrkenva1,LF,7/16/2013,16,7,2013,7/16/2013,197,8:15:00,815,5,CACH,cach,.,.,.,1,.,1,A,a,82,0,1,,,,,,,
andrkenva1-197-2013-5,andrkenva1,LF,7/16/2013,16,7,2013,7/16/2013,197,8:15:00,815,5,HOFI,hofi,.,.,.,1,.,1,A,a,82,0,1,,,,,,,
assmcarmd1-157-2013-3,assmcarmd1,CM,6/6/2013,6,6,2013,6/6/2013,157,7:08:00,78,3,MODO,modo,.,.,1,.,.,1,A,a,67,2,0,,,,,,,
assmcarmd1-157-2013-3,assmcarmd1,CM,6/6/2013,6,6,2013,6/6/2013,157,7:08:00,78,3,AMRO,amro,1,.,.,.,.,1,V,v,67,2,0,,,,,,,
assmcarmd1-157-2013-3,assmcarmd1,CM,6/6/2013,6,6,2013,6/6/2013,157,7:08:00,78,3,NOCA,noca,.,.,2,.,.,2,A,a,67,2,0,,,,,,,
assmcarmd1-157-2013-3,assmcarmd1,CM,6/6/2013,6,6,2013,6/6/2013,157,7:08:00,78,3,GRCA,grca,.,.,.,1,.,1,A,a,67,2,0,,,,,,,
assmcarmd1-157-2013-3,assmcarmd1,CM,6/6/2013,6,6,2013,6/6/2013,157,7:08:00,78,3,NOCA,noca,1,.,.,.,.,1,A,a,67,2,0,,,,,,,
assmcarmd1-157-2013-3,assmcarmd1,CM,6/6/2013,6,6,2013,6/6/2013,157,7:08:00,78,3,SOSP,sosp,.,.,1,.,.,1,A,a,67,2,0,,,,,,,
assmcarmd1-157-2013-2,assmcarmd1,CM,6/6/2013,6,6,2013,6/6/2013,157,7:08:00,78,2,RBWO,rbwo,.,1,.,.,.,1,A,a,67,2,0,,,,,,,
assmcarmd1-157-2013-2,assmcarmd1,CM,6/6/2013,6,6,2013,6/6/2013,157,7:08:00,78,2,CACH,cach,.,.,1,.,.,1,A,a,67,2,0,,,,,,,
assmcarmd1-157-2013-2,assmcarmd1,CM,6/6/2013,6,6,2013,6/6/2013,157,7:08:00,78,2,CARW,carw,.,1,.,.,.,1,A,a,67,2,0,,,,,,,
assmcarmd1-157-2013-5,assmcarmd1,CM,6/6/2013,6,6,2013,6/6/2013,157,7:08:00,78,5,NOCA,noca,.,.,.,1,.,1,A,a,67,2,0,,,,,,,
assmcarmd1-157-2013-5,assmcarmd1,CM,6/6/2013,6,6,2013,6/6/2013,157,7:08:00,78,5,TUTI,tuti,.,.,1,.,.,1,A,a,67,2,0,,,,,,,
